id,field,mngt_soil,transect,distance,type,nest_pa,nest_id,soil_bulk_dens,soil_rel_dens,soil_som,soil_ph,soil_sand,soil_silt,soil_clay
S11,LuHe01,NT,30-31m,30,Control,0,NA,1.3709672376804152,0.6971920424956014,2.65,7.75,29.224447868515668,41.08885464817668,29.68669748330765
S160,DaDu02,NT,0-1m,0,Control,0,NA,1.223397129763125,0.6338483960214712,4.24,6.49,37.13450292397661,29.761904761904763,33.10359231411863
S157,DaDu02,NT,5-6m,5,Control,0,NA,1.279655771298543,0.6423558703940769,2.46,6.81,36.43633381176953,30.244002460529014,33.31966372770145
S38,DaDu02,NT,10-11m,10,Control,0,NA,1.2732519391723593,0.6431751426793473,1.93,7.86,24.74762924441726,47.72101560110125,27.531355154481492
S35,DaDu02,NT,20-21m,20,Control,0,NA,1.2184303204169828,0.6349847288850604,4.23,6.82,40.482405763809126,28.610211966168944,30.90738227002193
S158,DaDu02,NT,30-31m,30,Control,0,NA,1.3632007174071572,0.7063929560201513,3.12,5.51,25.88769611891,48.30718414533443,25.805119735755575
S150,NiSe02,CT,0-1m,0,Control,0,NA,1.3855401187323237,0.702585149680119,2.56,6.62,33.08702791461413,36.74055829228242,30.172413793103445
S152,NiSe02,CT,5-6m,5,Control,0,NA,1.3862374036700613,0.706311063371771,3,6.36,31.03092783505155,37.7319587628866,31.23711340206186
S154,NiSe02,CT,10-11m,10,Control,0,NA,1.343148004929547,0.6928803138887641,2.59,6.04,39.020634431783186,36.957191253464735,24.02217431475208
S149,NiSe02,CT,20-21m,20,Control,0,NA,1.4172010061735545,0.7134094415049543,2.65,6.52,28.60811504879301,37.90446841294299,33.48741653826399
S155,NiSe02,CT,30-31m,30,Control,0,NA,1.4456492448212093,0.7257237282404163,2.13,5.74,30.31572494124859,38.52048635945643,31.163788699294983
S26,NiSe03,CT,0-1m,0,Control,0,NA,1.4723159274849504,0.7469845000388199,1.05,5.45,25.720060636685197,54.067710965133905,20.212228398180898
S40,NiSe03,CT,5-6m,5,Control,0,NA,1.536456543730591,0.7820638089031253,1.13,6.09,32.23424699099828,48.24517042581167,19.52058258319005
S29,NiSe03,CT,10-11m,10,Control,0,NA,1.4707118942275683,0.7528705757811673,1.45,6.45,31.60832064941654,48.9091831557585,19.48249619482496
S30,NiSe03,CT,20-21m,20,Control,0,NA,1.4837265708809595,0.752384064692931,1.62,6.12,26.509453140882286,49.400284610693234,24.090262248424477
S31,NiSe03,CT,30-31m,30,Control,0,NA,1.4869178774303062,0.7599065986719128,1.84,6.24,29.40097799511002,47.98288508557457,22.6161369193154
S34,NiSe03,CT,0-1m,0,Nest,1,NiSe03_FIT_2.1,1.2557412945790893,0.6698131245511358,3.66,6.14,51.8372430973635,29.271330703757524,18.891426198878968
S127,DaDu06,NT,0-1m,0,Control,0,NA,1.426692309523977,0.736925269621511,2.14,6.92,59.73840179848764,19.619865113427345,20.64173308808502
S113,DaDu06,NT,5-6m,5,Control,0,NA,1.5138628615294303,0.7822170596933243,2.34,7.66,57.81281998771247,20.37681753020684,21.810362482080688
S123,DaDu06,NT,10-11m,10,Control,0,NA,1.4997499704409776,0.7840589217728602,2.71,7.04,59.70808921780244,20.351526364477337,19.940384417720217
S111,DaDu06,NT,20-21m,20,Control,0,NA,1.4536631465556722,0.7607907957920281,2.38,6.2,59.53698012702314,23.048555623847573,17.414464249129278
S108,DaDu06,NT,30-31m,30,Control,0,NA,1.4321714175983071,0.7547909046199119,3.24,6.32,57.42042166184373,22.116577097974368,20.463001240181892
S109,DaDu06,NT,5-6m,5,Nest,1,DaDu06_FIT_1.4,1.5441944887403363,0.8059214122896828,3.04,7.68,55.96122112211222,21.349009900990097,22.68976897689769
S115,DaDu06,NT,0-1m,0,Nest,1,DaDu06_FIT_2.1,1.5749932911014604,0.8138710589185861,1.58,6.41,61.5931721194879,21.540337329811013,16.86649055070108
S142,DaDu06,NT,2-3m,2,Nest,1,DaDu06_FIT_2.2,1.5578400984412313,0.8107594324776275,2.22,6.28,60.93270607486194,20.658621394968296,18.40867253016977
S139,DaDu05,NT,0-1m,0,Control,0,NA,1.2340834483576355,0.6497480007355868,3.15,7.33,57.45998967475478,22.30252968508002,20.237480640165206
S145,DaDu05,NT,5-6m,5,Control,0,NA,1.2288208342038065,0.6577702719963975,3.71,6.9,58.77038114030533,23.263059507737044,17.966559351957628
S128,DaDu05,NT,10-11m,10,Control,0,NA,1.3459656028486715,0.6997177389771495,1.67,5.56,59.52405166276823,25.22119393877759,15.254754398454185
